标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
23-24(1)第1次线上赛,1：复数乘法,复数运算是高中数学里的一个基本知识，现在有两个复数，分别是a+bi和c+di，求这两个复数相乘后的乘积，实部和虚部分别是多少？,4个整数a、b、c、d，表示第一个复数的实部、虚部，第二个复数的实部、虚部。,两个整数，表示复数乘积的实部和虚部。中间间隔一个空格，不要换行。,,1 2 3 4,-5 10,75.06%,397,https://www.xujcoj.com/home/contest/1452/problem/1,https://www.xujcoj.com/home/contest/1452/problem,https://www.xujcoj.com/home/problem?keyword3=1452,https://www.xujcoj.com/home/problem/detail/4303
23-24(1)第1次线上赛,4：比日期,比较两个日期，如果第一个日期比第二个日期更早，则输出Early；如果第一个日期比第二个日期更晚，则输出Late；如果两个日期是同一天，则输出Same。,"第一行有三个整数y1、m1、d1，表示第一个日期的年月日。
第二行有三个整数y2、m2、d2，表示第二个日期的年月日。
保证日期都是合法的。","如果第一个日期比第二个日期更早，则输出Early；
如果第一个日期比第二个日期更晚，则输出Late；
如果两个日期是同一天，则输出Same。
不要换行。",,"2023 9 27
2023 9 30",Early,52.39%,439,https://www.xujcoj.com/home/contest/1452/problem/4,https://www.xujcoj.com/home/contest/1452/problem,https://www.xujcoj.com/home/problem?keyword3=1452,https://www.xujcoj.com/home/problem/detail/4304
23-24(1)第1次线上赛,6：数的乘积,有4个整数，问是否能从中挑选出两个数，使得这两个数的乘积是负数？,4个整数,如果能找到两个数的乘积是负数，则输出Yes，否则输出No。不要换行。,,3 4 -1 -5,Yes,51.06%,470,https://www.xujcoj.com/home/contest/1452/problem/6,https://www.xujcoj.com/home/contest/1452/problem,https://www.xujcoj.com/home/problem?keyword3=1452,https://www.xujcoj.com/home/problem/detail/4302
22-23(2)第5次线上赛,1：输出-3,输出两个整数中较小数的3倍。如果两个数相等，随便把其中一个数看作较小数。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由两个整数组成。（绝对值均不大于5亿）

","针对每组案例，输出其中较小数的3倍。

每组案例输出完都要换行。

",,"2

10 5

3 3","15
9",73.91%,69,https://www.xujcoj.com/home/contest/1385/problem/1,https://www.xujcoj.com/home/contest/1385/problem,https://www.xujcoj.com/home/problem?keyword3=1385,https://www.xujcoj.com/home/problem/detail/3975
22-23(2)第5次线上赛,2：ABCD,有A、B、C、D四种商品，单价分别是1元、2元、3元、4元，已知罗少一共买了x件商品，花了总共y元，问每种商品分别买了多少件？,"只有一组案例。两个正整数x和y，表示商品的件数和商品的总价。（x<=1000，y<=1000）

","输出4个整数，代表购买A、B、C、D的件数。每两个数之间有一个空格。

当然可能有好几种合法解，如果遇到这种情况，优先输出A的件数比较少的解；如果A的件数一样，则优先输出B的件数比较少的解；...；以此类推。

每一组合法解输出完都要换行。

如果无解，输出None，换行。





",,4 10,"0 2 2 0

0 3 0 1

1 0 3 0

1 1 1 1

2 0 0 2",42.31%,26,https://www.xujcoj.com/home/contest/1385/problem/2,https://www.xujcoj.com/home/contest/1385/problem,https://www.xujcoj.com/home/problem?keyword3=1385,https://www.xujcoj.com/home/problem/detail/4194
22-23(2)第5次线上赛,3：下雨了,从宿舍到教学楼一共有a米路，沿路共有b把雨伞，每把雨伞可以覆盖一定范围，保证这个范围内的地面不会被雨淋到。问罗少不带伞的情况下，从宿舍到教学楼，是否会被雨淋到？,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例先是两个正整数a和b，表示有a米的路，b把雨伞。（a<=10000，b<=1000）
然后是b行数据，每行数据由两个正整数c和d组成，表示某一把雨伞的覆盖范围从第c米到第d米（含第c米和第d米，假设路是从第1米到第a米，每把伞的覆盖范围不会超过100米）。（1<=c<=d<=a）","针对每组案例，如果伞可以覆盖所有区域，则输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
10 3
1 5
8 10
4 7
8 2
1 3
5 8","Yes
No",53.57%,56,https://www.xujcoj.com/home/contest/1385/problem/3,https://www.xujcoj.com/home/contest/1385/problem,https://www.xujcoj.com/home/problem?keyword3=1385,https://www.xujcoj.com/home/problem/detail/4195
22-23(2)第5次线上赛,5：拆解,从一个9位正整数中抽取2个数字，构成最大的两位数，问该数字是多少？,"这是一道多组案例题。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个9位正整数a组成。","针对每组案例，输出一个两位数，该数字是从a中的9位数字里抽取2个数字构成的最大两位数。
每组案例输出完都要换行。","案例1中，从123456789中抽取8和9两个数字，构成最大两位数98。
案例2中，从102887645中抽取2个8数字，构成最大两位数88。","2
123456789
102887645","98
88",62.26%,53,https://www.xujcoj.com/home/contest/1385/problem/5,https://www.xujcoj.com/home/contest/1385/problem,https://www.xujcoj.com/home/problem?keyword3=1385,https://www.xujcoj.com/home/problem/detail/4198
22-23(2)第3次线上赛,1：符合条件的数-3,有两个正整数a和b，希望得到一个符合条件的最小正整数c，使得a加c结果的个位数与b的个位数相同。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由两个正整数a和b组成。（均不大于10亿）

","针对每组案例，输出一个符合条件的最小正整数c，使得a加c结果的个位数与b的个位数相同。

每组案例输出完都要换行。

",,"2
5 25
5 6","10
1",45.02%,231,https://www.xujcoj.com/home/contest/1360/problem/1,https://www.xujcoj.com/home/contest/1360/problem,https://www.xujcoj.com/home/problem?keyword3=1360,https://www.xujcoj.com/home/problem/detail/3978
22-23(2)第3次线上赛,4：星号阵列-23,"输出一个星号阵列，每行星号的数量满足以下规律：
1、第一行有a个星号；
2、从第二行开始，每行星号的数量是上一行星号数量的因子的个数，例如上一行有6个星号，由于6有1、2、3、6共4个因子，故该行有4个星号；
3、当某一行有1个或者2个星号时，该行是星号阵列的最后一行，最后一行打完星号以后也有换行。","只有一组案例。
一个正整数a，表示第一行星号的数量。（a<=100）",按要求输出星号阵列。,,6,"******
****
***
**",52.55%,137,https://www.xujcoj.com/home/contest/1360/problem/4,https://www.xujcoj.com/home/contest/1360/problem,https://www.xujcoj.com/home/problem?keyword3=1360,https://www.xujcoj.com/home/problem/detail/3992
22-23(2)第2次线上赛,1：输出-2,输出两个整数中较大数减较小数的结果。如果两个数相等，随意视其中一个为较大数，另一个为较小数。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由两个整数组成。（绝对值均不大于5亿）","针对每组案例，输出较大数减较小数的结果。
每组案例输出完都要换行。",,"2
10 5
3 3","5
0",72.56%,215,https://www.xujcoj.com/home/contest/1326/problem/1,https://www.xujcoj.com/home/contest/1326/problem,https://www.xujcoj.com/home/problem?keyword3=1326,https://www.xujcoj.com/home/problem/detail/3974
22-23(2)第2次线上赛,2：日期-2,输入年月日，输出该年有多少天，该月有多少天。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由3个正整数组成，表示年、月、日。","针对每组案例，输出两个整数，第一个是该年的天数，第二个是该月的天数。两个数之间有一个空格。
每组案例输出完都要换行。",闰年满足以下任意一种情况即可：1、年份是400的倍数，但必须不是3200的倍数；2、年份是4的倍数，但必须不是100的倍数。,"2
2022 11 27
2020 5 5","365 30
366 31",53.20%,250,https://www.xujcoj.com/home/contest/1326/problem/2,https://www.xujcoj.com/home/contest/1326/problem,https://www.xujcoj.com/home/problem?keyword3=1326,https://www.xujcoj.com/home/problem/detail/3971
22-23(2)第2次线上赛,3：星号阵列-24,"输出一个星号阵列，每行星号的数量满足以下规律：

1、第一行有a个星号；

2、从第二行开始，每行星号的数量是上一行星号数量的最大因子（除了自身以外的），例如上一行有6个星号，由于6除了自身以外的最大因子是3，故该行应该有3个星号；

3、当某一行只有1个星号时，该行是星号阵列的最后一行，最后一行打完星号以后也有换行。





","第一行是一个正整数 n 表示测试案例的数量。
每组案例是一个正整数a，表示第一行星号的数量。（a<=100）

",针对每组案例，按要求输出星号阵列。,,"2
6
4","******
***
*
****
**
*",51.30%,154,https://www.xujcoj.com/home/contest/1326/problem/3,https://www.xujcoj.com/home/contest/1326/problem,https://www.xujcoj.com/home/problem?keyword3=1326,https://www.xujcoj.com/home/problem/detail/3993
22-23(2)第2次线上赛,4：名字和成绩,输出5个学生中排名第3的名字和成绩。,"只有一组案例。

有5行数据，每行数据由一个不含空格的字符串a和一个整数b组成，表示学生的名字和成绩。（保证不会有相同的成绩）

","输出成绩居中（即排第3名）的学生名字和成绩。

名字和成绩之间有个空格，输出完换行。

",,"AAA 70

BBB 90

CCC 100

DDD 80

EEE 60







","DDD 80


",63.64%,110,https://www.xujcoj.com/home/contest/1326/problem/4,https://www.xujcoj.com/home/contest/1326/problem,https://www.xujcoj.com/home/problem?keyword3=1326,https://www.xujcoj.com/home/problem/detail/4027
22-23(2)第2次线上赛,5：0和1,"判断两个整数之和里是否有相邻的两位数字分别是0和1。
例如总和为3012，这个数字里有相邻的数字0和1，这就符合条件；同理3102也符合条件；但3120不符合条件，因为虽然有0和1，但不相邻。","这是一道多组案例的题目。一个正整数n，表示案例的数量。

每组案例由两个整数a和b组成。

","针对每组案例，如果a+b之和里有相邻的数字0和1，则输出Yes，否则输出No。
每组案例输出完都要换行。

",,"3
3000 12
3000 102
3000 120","Yes
Yes
No",46.43%,112,https://www.xujcoj.com/home/contest/1326/problem/5,https://www.xujcoj.com/home/contest/1326/problem,https://www.xujcoj.com/home/problem?keyword3=1326,
22-23(2)第1次线上赛,1：输出-1,输出两个整数中较大数的2倍。如果两个数相等，随便把其中一个数看作较大数。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由两个整数组成。（绝对值均不大于5亿）","针对每组案例，输出其中较大数的2倍。
每组案例输出完都要换行。",,"2
10 5
3 3","20
6",65.33%,300,https://www.xujcoj.com/home/contest/1307/problem/1,https://www.xujcoj.com/home/contest/1307/problem,https://www.xujcoj.com/home/problem?keyword3=1307,https://www.xujcoj.com/home/problem/detail/3973
22-23(2)第1次线上赛,2：符合条件的数-1,有两个正整数a和b，希望得到一个符合条件的最小正整数c，使得a乘以c的结果大于b。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由两个正整数a和b组成。（均不大于10亿）","针对每组案例，输出一个符合条件的最小正整数c，使得a乘以c的结果大于b。
每组案例输出完都要换行。",,"2
5 10
20 10","3
1",64.23%,246,https://www.xujcoj.com/home/contest/1307/problem/2,https://www.xujcoj.com/home/contest/1307/problem,https://www.xujcoj.com/home/problem?keyword3=1307,https://www.xujcoj.com/home/problem/detail/3976
22-23(1)第6次线上赛,5：重组的字符串,一个只含有大写英文字母和小写英文字母的字符串，现在要把其中的大写英文字母往前靠，小写英文字母往后靠，同时不改变大写英文字母之间的顺序，也不改变小写英文字母之间的顺序。例如AlPhaBet重组后变成了APBlhaet。,"这是一道多组案例的题。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个只含有大写英文字母和小写英文字母的字符串组成。（长度不大于20）","针对每组案例，输出重组后的字符串。
每组案例输出完都要换行。",,"2
AlPhaBet
AaBbAa","APBlhaet
ABAaba",76.71%,146,https://www.xujcoj.com/home/contest/1286/problem/5,https://www.xujcoj.com/home/contest/1286/problem,https://www.xujcoj.com/home/problem?keyword3=1286,https://www.xujcoj.com/home/problem/detail/4020
22-23(1)第5次线上赛,2：几个6,"计算2个正整数之和里一共有几个6。例如102和504，它们的和是606，这个数字里有2个6。
还有一个额外规定，如果这个和是6的倍数，那么额外多算1个6，所以如果输入是102和504，由于它们的和606是6的倍数，故输出结果应该是3，而不是2。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由2个正整数a、b组成。（均不大于10亿）","针对每组案例，输出一个整数，表示a+b的结果中6的数量。如果a+b的和是6的倍数，要多算1个6。
每组案例输出完都要换行。",,"2
102 504
16 52","3
1",53.79%,383,https://www.xujcoj.com/home/contest/1268/problem/2,https://www.xujcoj.com/home/contest/1268/problem,https://www.xujcoj.com/home/problem?keyword3=1268,https://www.xujcoj.com/home/problem/detail/3964
22-23(1)第5次线上赛,3：姓名顺序,"有10个同学的姓名拼音，使用名字在前，姓氏在后的方式输入，名字和姓氏之间有一个空格。
现在按照我国习惯的姓氏+名字的拼音顺序从小到大排序（即把姓氏放前面，姓氏和名字之间留一个空格，按这样的字符串从小到大排序），然后依次输出每个同学的姓名，
输出时还是按照名字在前，姓氏在后的方式输出。",有10行数据，每行是一个同学的名字和姓氏，用一个空格隔开。（姓氏不会超过10个字符，名字不会超过20个字符）,"按姓氏+名字的拼音顺序从小到大输出每个同学的姓名，
输出时还是按照名字在前，姓氏在后的方式输出，中间有个空格。
每个同学姓名输出完都要换行。",,"Yu  Pei

Shen Lu

YueLong Chen

Rong Chen

ZhengNan Cai

Tiantian Zha

Kaifeng Gao

Qiyuan Liu

Zitong Ding

Ken Ye

















","ZhengNan Cai
Rong Chen
YueLong Chen
Zitong Ding
Kaifeng Gao
Qiyuan Liu
Shen Lu
Yu Pei
Ken Ye
Tiantian Zha",65.03%,143,https://www.xujcoj.com/home/contest/1268/problem/3,https://www.xujcoj.com/home/contest/1268/problem,https://www.xujcoj.com/home/problem?keyword3=1268,https://www.xujcoj.com/home/problem/detail/3958
22-23(1)第4次线上赛,3：成绩排名,"已知班级里有m个同学（从1号到m号），在C++考试时，有一些同学因为疫情原因无法参加考试，故没有考试成绩，输入时用-1代替这些同学的成绩。
现在有位a号同学想知道自己的班级名次。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例先是一个正整数m，表示班级同学的数量，（m<=200）
然后是m个整数，表示从1号到m号同学的成绩，其中-1表示该位同学缺考，（-1到100之间的整数）
最后是一个正整数a，表示查询的是a号同学的名次。（1<=a<=m）","针对每组案例，输出一个整数，表示a号同学的名次。如果该位同学缺考，则应该输出N/A。
每组案例输出完都要换行。",,"4
5
90 100 -1 80 100
1
5
90 100 -1 80 100
2
5
90 100 -1 80 100
5
5
90 100 -1 80 90

3

","3
1
1
N/A",50.98%,102,https://www.xujcoj.com/home/contest/1250/problem/3,https://www.xujcoj.com/home/contest/1250/problem,https://www.xujcoj.com/home/problem?keyword3=1250,https://www.xujcoj.com/home/problem/detail/3917
22-23(1)第3次线上赛,1：质数数量和总和,输入一个m，统计不大于m的质数个数及总和。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个正整数m组成。（m<=10000）","针对每组案例，输出两个整数，表示不大于m的质数个数和总和，用一个空格相隔。
每组案例输出完都要换行。",,"2
10
13","4 17
6 41",48.45%,355,https://www.xujcoj.com/home/contest/1218/problem/1,https://www.xujcoj.com/home/contest/1218/problem,https://www.xujcoj.com/home/problem?keyword3=1218,https://www.xujcoj.com/home/problem/detail/3846
22-23(1)第3次线上赛,3：走法的数量,有一个a行b列的网格，一个人要从左上方的格子走到右下方的格子，每次只能向右、向下或者向右下移动一格，问一共有多少种不同的走法？下图是一个3行5列的网格。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个正整数a和b组成，表示这是一个a行b列的网格。（a、b均不大于10）","针对每组案例，输出一个整数，表示走法的数量。
每组案例输出完都要换行。",,"2
3 5
4 4","41
63",65.22%,161,https://www.xujcoj.com/home/contest/1218/problem/3,https://www.xujcoj.com/home/contest/1218/problem,https://www.xujcoj.com/home/problem?keyword3=1218,https://www.xujcoj.com/home/problem/detail/3848
22-23(1)第3次线上赛,5：曼城球童,"在足球比赛开始之前的上场仪式中，上场球员会分别携带一名球童一同上场。
这一天，曼城上场11名球员，按道理应该有11名球童，然而由于哈兰德的存在，球童少了几个，这样有的球员就没有带球童上场。
球员上场也有顺序问题，谁先谁后都有可能。每个球童跟随哪个球员上场也存在各种可能性。
每个球员都有不同的名字，每个球童也有不同的名字。问：在有11名球员和m名球童的情况下，有多少种不同的上场顺序。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=12）
每组案例由一个非负整数m组成。（0<=m<=11）","针对每组案例，输出一个长整数，表示组合的数量。
每组案例输出完都要换行。",,"2
1
11","439084800
1593350922240000",45.19%,135,https://www.xujcoj.com/home/contest/1218/problem/5,https://www.xujcoj.com/home/contest/1218/problem,https://www.xujcoj.com/home/problem?keyword3=1218,https://www.xujcoj.com/home/problem/detail/3867
22-23(1)第3次线上赛,6：等差三位数,"如果一个三位整数的百位、十位、个位数恰好构成了一个等差数列，则称该数字为等差三位数。
现在给定一个三位整数，如果该数字是等差三位数，则输出Yes，否则输出No。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由一个三位整数m构成。（100<=m<=999）","针对每组案例，如果m是等差三位数，则输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
357
455","Yes
No",58.53%,299,https://www.xujcoj.com/home/contest/1218/problem/6,https://www.xujcoj.com/home/contest/1218/problem,https://www.xujcoj.com/home/problem?keyword3=1218,https://www.xujcoj.com/home/problem/detail/3868
22-23(1)第2次线上赛,4：谁是大佬,根据学号1号到m号依次给出m个学生的期中考试成绩，其中有且仅有一个最高分，问最高分是几号学生。,"这是一道多组案例的题目，首先是一个正整数n，表示案例的数量。（n<=10）
每组案例中先是一个正整数m，表示学生的数量，（m<=100）
然后是m个0到100之间的整数，表示从1号到m号学生的成绩。","针对每组案例，输出一个整数，表示成绩最高的学生学号。
每组案例输出完都要换行。",,"2

3

80 90 100

4

94 96 92 90







","3
2",43.72%,247,https://www.xujcoj.com/home/contest/1192/problem/4,https://www.xujcoj.com/home/contest/1192/problem,https://www.xujcoj.com/home/problem?keyword3=1192,https://www.xujcoj.com/home/problem/detail/3819
22-23(1)第2次线上赛,5：强质数,"定义一个正整数a的Q集合元素由以下3条规律迭代生成：1、a属于Q集合；2、如果某个整数b属于Q集合，则b除了最高位数以外的剩下数字也属于Q集合，除非被规则3排除；3、整数0永远不属于Q集合。
例如127的Q集合是{127，27，7}，1020的Q集合是{1020，20}（因为020就是20）
定义如果某个整数m的Q集合的所有元素都是质数，那么称m是强质数。
统计区间[x,y]之内有多少个强质数，以及强质数之和。（包含区间边缘）","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=10）
每组案例由两个正整数x和y组成。（x<=y<=100000）","针对每组案例，输出两个整数，以空格相隔，表示区间[x,y]之内有多少个强质数，以及强质数之和。
每组案例输出完都要换行。","5到8之间的强质数是5和7。
100到150之间的强质数是103、107、113、137。","2
5 8
100 150","2 12
4 460",65.79%,38,https://www.xujcoj.com/home/contest/1192/problem/5,https://www.xujcoj.com/home/contest/1192/problem,https://www.xujcoj.com/home/problem?keyword3=1192,https://www.xujcoj.com/home/problem/detail/3829
22-23(1)第2次线上赛,6：缝合怪,有一个6位正整数，要求把高两位和低两位对调，然后输出。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由一个6位正整数a构成。（100000<=a<=999999）","针对每组案例，输出一个数字，是a高两位和低两位对调后的结果。如果对调后的数字开头是0，不要输出这些前置0。
每组案例输出完都要换行。",,"3
123456
123406
123400","563412
63412
3412",43.30%,224,https://www.xujcoj.com/home/contest/1192/problem/6,https://www.xujcoj.com/home/contest/1192/problem,https://www.xujcoj.com/home/problem?keyword3=1192,https://www.xujcoj.com/home/problem/detail/3830
22-23(1)第1次线上赛,1：Hello TKK,输出Hello TKK yyyy.mm.dd，其中yyyy、mm、dd表示的年、月、日由输入决定,一行，三个整数，分别表示年、月、日，保证表示的日期是合法的。,"Hello TKK yyyy.mm.dd，其中yyyy、mm、dd表示的年、月、日由输入决定。
不要换行。",,2022 9 8,Hello TKK 2022.9.8,63.79%,464,https://www.xujcoj.com/home/contest/1155/problem/1,https://www.xujcoj.com/home/contest/1155/problem,https://www.xujcoj.com/home/problem?keyword3=1155,https://www.xujcoj.com/home/problem/detail/3768
22-23(1)第1次线上赛,2：总和最大,"输入三个整数，从中挑选若干个数字，使得这些数的总和尽可能的大。
若干个指的是0个、1个、2个或3个，如果是0个，那么总和就是0；如果是1个，总和就是选中的那个数字。",一行，三个整数。,"一个整数，表示最大的总和。
不要换行。",,6 -5 7,13,43.13%,531,https://www.xujcoj.com/home/contest/1155/problem/2,https://www.xujcoj.com/home/contest/1155/problem,https://www.xujcoj.com/home/problem?keyword3=1155,https://www.xujcoj.com/home/problem/detail/3770
22-23(1)第1次线上赛,3：优秀的成绩,有三门课的成绩，如果每门课都不低于85分，且三门课的平均分不低于90分，则称为优秀。,一行，三个整数，表示三门课的成绩,"如果满足优秀条件，则输出Excellent，否则输出Not Excellent。
不要换行。",,89 95 96,Excellent,50.82%,547,https://www.xujcoj.com/home/contest/1155/problem/3,https://www.xujcoj.com/home/contest/1155/problem,https://www.xujcoj.com/home/problem?keyword3=1155,https://www.xujcoj.com/home/problem/detail/3767
22-23(1)第1次线上赛,4：英文字母,"涂涂非常擅长英语（bushi），他可以从任意一个英文字母开始按照顺序念出26个英文字母，例如从E开始，依次是EFGH...XYZABCD。
现在已知一个开始的英文字母，要求按顺序把26个英文字母输出出来。",一个英文字母,"如果输入的是大写的英文字母，则从该英文字母开始，依次输出26个大写英文字母，不要空格不要换行。
如果输入的是小写的英文字母，则从该英文字母开始，依次输出26个小写英文字母，不要空格不要换行。",如果输入的是e，那么应该输出efghijklmnopqrstuvwxyzabcd,E,EFGHIJKLMNOPQRSTUVWXYZABCD,53.18%,314,https://www.xujcoj.com/home/contest/1155/problem/4,https://www.xujcoj.com/home/contest/1155/problem,https://www.xujcoj.com/home/problem?keyword3=1155,https://www.xujcoj.com/home/problem/detail/3766
22-23(1)第1次线上赛,6：老人与海,"在某游戏中，钓鱼技能随着每一次成功的钓鱼提升。玩家初始的钓鱼技能是1。在技能点没达到50之前，每钓到一条鱼都可以提升1点。
到了50后，需要钓更多的鱼才能提升钓鱼技能。具体来说是50->51需要2条鱼，51->52需要3条鱼，52->53需要4条鱼，...，以此类推。
所以如果玩家一开始只要钓上49条鱼就可以把钓鱼技能升到50点。然而如果要升到100点，连同前面的49条鱼，总共需要钓到1374条鱼才行。
现在已知玩家总共钓到了a条鱼，问玩家的钓鱼技能是多少点？",一个正整数a，表示鱼的数量。（a<=10亿）,"一个整数，表示玩家钓鱼技能点。
不要换行。",,1377,100,43.40%,212,https://www.xujcoj.com/home/contest/1155/problem/6,https://www.xujcoj.com/home/contest/1155/problem,https://www.xujcoj.com/home/problem?keyword3=1155,https://www.xujcoj.com/home/problem/detail/3764
21-22(2)第4次线上赛,1：TQL的三年级语文,"中文词汇经常有AAB、ABB、AABB、ABAB、ABAC、AABC、ABCC等形式，例如“人才济济”属于ABCC形式，“悄悄话”属于AAB形式。
现在给定一个中文词汇，判断是否属于上述七种形式中的某一种。","多组案例。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个中文词汇组成。（3个汉字或者4个汉字）","针对每组案例，如果词汇属于AAB、ABB、AABB、ABAB、ABAC、AABC、ABCC中的某一种形式，那么输出之，否则输出NONE。
每组案例输出完要换行。
保证一个词汇不会同时满足多种形式。",,"3
人才济济
悄悄话
程序设计","ABCC
AAB
NONE",40.50%,121,https://www.xujcoj.com/home/contest/1081/problem/1,https://www.xujcoj.com/home/contest/1081/problem,https://www.xujcoj.com/home/problem?keyword3=1081,https://www.xujcoj.com/home/problem/detail/3587
21-22(2)第4次线上赛,4：TQL的六年级数学,TQL学习了阶乘运算a!=1*2*3*...*(n-1)*n，现在TQL想要计算一个不太大的a的阶乘。,"多组案例。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个正整数a组成。（a<=15）","针对每组案例，输出a的阶乘。
每组案例输出完要换行。",,"2
3
13","6
6227020800",68.72%,211,https://www.xujcoj.com/home/contest/1081/problem/4,https://www.xujcoj.com/home/contest/1081/problem,https://www.xujcoj.com/home/problem?keyword3=1081,https://www.xujcoj.com/home/problem/detail/3588
21-22(2)第4次线上赛,6：TQL的十年级数学,"向量a+bi逆时针旋转α度后得到的向量为(acosα-bsinα)+(asinα+bcosα)i
已知平面直角坐标系中一个点(x,y)，求把该点绕原点逆时针旋转90度后的点坐标(x',y')","多组案例。一个正整数n，表示案例的数量。（n<=100）
每组案例由两个整数x和y组成。（绝对值均不大于10000）","针对每组案例，输出两个数，表示旋转后的坐标(x',y')，中间用一个空格相隔。
每组案例输出完都要换行。",,"2
1 1
0 0","-1 1
0 0",70.80%,137,https://www.xujcoj.com/home/contest/1081/problem/6,https://www.xujcoj.com/home/contest/1081/problem,https://www.xujcoj.com/home/problem?keyword3=1081,https://www.xujcoj.com/home/problem/detail/3585
21-22(2)第3次线上赛,1：涂涂的小黄鸭,"涂涂驾驶一艘游艇以相对于静水恒定的速度在河水里逆流行驶，水流速度小于游艇的速度，在经过一座桥的时候小黄鸭不慎掉落水中，过了t秒时间后，涂涂发现小黄鸭不见了，这时候船已经距离桥s1米。涂涂这时候调头向下游行驶，顺流而下了s2米之后终于追上了小黄鸭。
问涂涂从发现小黄鸭不见到追上小黄鸭，一共花费了多少秒？","多组案例。一个正整数n，表示案例的数量。（n<=100）
每组案例由3个正整数t、s1、s2组成。（均不大于10000，s2保证大于s1）","针对每组案例，输出一个整数，表示涂涂从发现小黄鸭不见到追上小黄鸭，一共花费了多少秒。如果这个数不是整数，那么输出其整数部分。
每组案例输出完都要换行。",,"2
5 10 20
3 10 17",自己算,47.78%,203,https://www.xujcoj.com/home/contest/1069/problem/1,https://www.xujcoj.com/home/contest/1069/problem,https://www.xujcoj.com/home/problem?keyword3=1069,https://www.xujcoj.com/home/problem/detail/3581
21-22(2)第3次线上赛,5：TQL的七年级生物,"TQL在做生物实验时发现，一种名叫高鼠的生物是单性繁殖生物，在繁殖后代时存在一定的规律。可以用一个字符串c1表示一只高鼠的遗传基因，它生成的下一代遗传基因用字符串c2表示，规则为：
（1）如果字符串a是c1的子串，那么把c1中的第一次出现的子串a替换成另一个子串b，生成c2；
（2）如果字符串a不是c1的子串，那么c2与c1相等。
例如c1=""ABCABCD""，a=""AB""，b=""Z""，则c2=""ZCABCD""。
现在已知一只第1代袋鼠的遗传基因字符串c1和a、b，问由它生成的第2代袋鼠的遗传基因c2是什么？","多组案例。一个正整数T，表示案例的数量。（T<=100）
每组案例中由3个字符串c1、a、b组成。数据规模满足：
（1）c1长度不超过100
（2）a和b的长度均不超过10
（3）b的长度不超过a
（4）a、b是不同的字符串
（5）c1、a、b都是由纯大写英文字母组成","针对每组案例，输出一个字符串，表示第2代袋鼠的遗传基因c2的值。
每组案例输出完要换行。",,"3
DABCABCD AB Z
DABCABCD AD Z
DAAAAAAA AA A","DZCABCD
DABCABCD
DAAAAAA",49.44%,89,https://www.xujcoj.com/home/contest/1069/problem/5,https://www.xujcoj.com/home/contest/1069/problem,https://www.xujcoj.com/home/problem?keyword3=1069,https://www.xujcoj.com/home/problem/detail/3577
21-22(2)第2次线上赛,1：罗少的一年级数学,"罗少做数学题经常把加法题看成减法题。有一天涂涂出了两个整数相加的算术题，罗少当成了这两个整数相减，于是给出了减法计算的结果。
大范手上有罗少的减法计算结果和涂涂的加法计算答案，但没有题目。大范想要知道题目中两个整数分别是多少。","多组案例。一个正整数n，表示案例的数量。（n<=100）
每组案例由两个整数a和b组成，其中a表示两个整数相减的结果，b表示两个整数相加的结果。（-1e6<=a,b<=1e6）","针对每组案例，如果无解，输出-1；如果有多个解，输出-2；如果只有唯一解，输出两个整数，这两个数之差等于a（第一个数减第二个数），之和等于b。两个数之间有一个空格。
每组案例输出都要换行。",,"2
10 6
8 11","8 -2
-1",65.41%,266,https://www.xujcoj.com/home/contest/1054/problem/1,https://www.xujcoj.com/home/contest/1054/problem,https://www.xujcoj.com/home/problem?keyword3=1054,https://www.xujcoj.com/home/problem/detail/3559
